date,value
2025-02-03,168136.0798840824
2025-02-04,168136.0798840824
2025-02-05,168136.0798840824
2025-02-06,168136.0798840824
2025-02-07,168136.0798840824
2025-02-10,168136.0798840824
2025-02-11,168136.0798840824
2025-02-12,168136.0798840824
2025-02-13,168136.0798840824
2025-02-14,168136.0798840824
2025-02-17,168136.0798840824
2025-02-18,168136.0798840824
2025-02-19,168136.0798840824
2025-02-20,168136.0798840824
2025-02-21,168136.0798840824
2025-02-24,168136.0798840824
2025-02-25,168136.0798840824
2025-02-27,168136.0798840824
2025-02-28,167737.5698017543
2025-03-03,167705.1791767543
2025-03-04,167485.2768330043
2025-03-05,169013.1791767543
2025-03-06,170257.5698017543
2025-03-07,170304.3744892543
2025-03-10,169751.1791767543
2025-03-11,169976.7768330043
2025-03-12,169812.3744892543
2025-03-13,169372.5698017543
2025-03-17,170041.8744892543
2025-03-18,171995.1791767543
2025-03-19,172434.9721455043
2025-03-20,174133.2768330043
2025-03-21,175091.7768330043
2025-03-24,176513.90575273088
2025-03-25,176513.90575273088
2025-03-26,176513.90575273088
2025-03-27,176513.90575273088
2025-03-28,176513.90575273088
2025-04-01,176513.90575273088
2025-04-02,176513.90575273088
2025-04-03,176513.90575273088
2025-04-04,176101.35081340277
2025-04-07,171644.25315715277
2025-04-08,173889.75315715277
2025-04-09,173069.55784465277
2025-04-11,175645.96018840277
2025-04-15,178645.96018840277
2025-04-16,179297.85081340277
2025-04-17,181784.55784465277
2025-04-21,183427.96018840277
2025-04-22,183678.15550090277
2025-04-23,184648.35081340277
2025-04-24,184154.85081340277
2025-04-25,182910.75315715277
2025-04-28,184645.65550090277
2025-04-29,184690.35081340277
2025-04-30,184242.1272378559
2025-05-02,184242.1272378559
2025-05-05,183801.53299701997
2025-05-06,183312.22830951997
2025-05-07,183521.03299701997
2025-05-08,182677.43534076997
2025-05-09,181082.63065326997
2025-05-12,186582.82596576997
2025-05-13,184504.72830951997
2025-05-14,185036.03299701997
2025-05-15,186956.41126174654
2025-05-16,186956.41126174654
2025-05-19,186956.41126174654
2025-05-20,186956.41126174654
2025-05-21,186956.41126174654
2025-05-22,186956.41126174654
2025-05-23,186956.41126174654
2025-05-26,186956.41126174654
2025-05-27,186956.41126174654
2025-05-28,186956.41126174654
2025-05-29,186956.41126174654
2025-05-30,186510.6016674184
2025-06-02,186306.0040111684
2025-06-03,185261.4063549184
2025-06-04,185727.6016674184
2025-06-05,186511.8086986684
2025-06-06,187574.95616496526
2025-06-09,187574.95616496526
2025-06-10,187574.95616496526
2025-06-11,187574.95616496526
2025-06-12,187574.95616496526
2025-06-13,187129.72474880124
2025-06-16,188497.12709255124
2025-06-17,187938.52943630124
2025-06-18,187690.43178005124
2025-06-19,187577.62709255124
2025-06-20,189492.52943630124
2025-06-23,188649.52943630124
2025-06-24,189084.22474880124
2025-06-25,190286.62709255124
2025-06-26,192112.12709255124
2025-06-27,192644.93178005124
2025-06-30,191920.43178005124
2025-07-01,192068.93178005124
2025-07-02,191538.52943630124
2025-07-03,191249.93178005124
2025-07-04,191126.13462455122
2025-07-07,191126.13462455122
2025-07-08,191126.13462455122
2025-07-09,191126.13462455122
2025-07-10,191126.13462455122
2025-07-11,191126.13462455122
2025-07-14,191126.13462455122
2025-07-15,191126.13462455122
2025-07-16,191126.13462455122
2025-07-17,191126.13462455122
2025-07-18,191126.13462455122
2025-07-21,191126.13462455122
2025-07-22,191126.13462455122
2025-07-23,191126.13462455122
2025-07-24,191126.13462455122
2025-07-25,191126.13462455122
2025-07-28,191126.13462455122
